Date,Open,High,Low,Close,Adj Close,Volume,Daily Change,
6/09/2019,0.797947,0.811147,0.784155,0.78711,0.712197,26908120,-1.43%,
9/09/2019,0.790657,0.821392,0.784943,0.821392,0.743216,28409488,4.36%,
10/09/2019,0.815482,0.846217,0.790066,0.839913,0.759975,41512758,2.25%,
11/09/2019,0.841489,0.86395,0.830455,0.842671,0.76247,32951866,0.33%,
12/09/2019,0.847597,0.860797,0.810753,0.833411,0.754091,39327038,-1.10%,
13/09/2019,0.841292,0.898429,0.841292,0.898429,0.812921,49488035,7.80%,
16/09/2019,0.886804,0.8937,0.869663,0.883652,0.799551,27894060,-1.64%,
17/09/2019,0.875771,0.881091,0.846611,0.846611,0.766035,30844490,-4.19%,
18/09/2019,0.844838,0.855872,0.833411,0.83676,0.757122,21937323,-1.16%,
19/09/2019,0.842868,0.88976,0.837548,0.872028,0.789033,35517350,4.21%,
20/09/2019,0.866905,0.877347,0.860206,0.864344,0.78208,39213275,-0.88%,
23/09/2019,0.861585,0.864147,0.828288,0.845823,0.765322,22477249,-2.14%,
24/09/2019,0.848188,0.857645,0.839716,0.848188,0.767462,24543269,0.28%,
25/09/2019,0.841686,0.862176,0.826515,0.862176,0.780119,36226429,1.65%,
26/09/2019,0.862176,0.866117,0.842474,0.861979,0.77994,31531988,-0.02%,
27/09/2019,0.857054,0.882667,0.852128,0.878726,0.795094,50207238,1.94%,
30/09/2019,0.879317,0.891533,0.86986,0.876953,0.793489,25902516,-0.20%,
1/10/2019,0.885031,0.898429,0.870451,0.872619,0.789568,77726228,-0.49%,
2/10/2019,0.86789,0.878726,0.856266,0.859024,0.777267,19556974,-1.56%,
3/10/2019,0.859024,0.873407,0.839519,0.867693,0.785111,20705021,1.01%,
4/10/2019,0.867693,0.871239,0.853113,0.86395,0.781724,16824245,-0.43%,
7/10/2019,0.861782,0.87183,0.850158,0.871239,0.788319,22223435,0.84%,
8/10/2019,0.874589,0.881682,0.833411,0.850158,0.769244,21261652,-2.42%,
9/10/2019,0.852128,0.860009,0.845823,0.850355,0.769423,13202186,0.02%,
10/10/2019,0.847202,0.88976,0.847202,0.88976,0.805077,24502360,4.63%,
11/10/2019,0.886804,0.949064,0.886804,0.944335,0.854458,68381946,6.13%,
